time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.0455,-0.5568,3.3865,0.7719,0,0,0
5.0624,-0.5568,3.3865,0.7719,0,0,0
5.0792,-0.5568,3.3865,0.7719,0,0,0
5.0961,-0.5568,3.3865,0.7719,0,0,0
5.1132,-0.5568,3.3865,0.7719,0,0,0
5.1298,-0.5568,3.3865,0.7719,0,0,0
5.1466,-0.5568,3.3865,0.7719,0,0,0
5.1635,-0.5568,3.3865,0.7719,0,0,0
5.1807,-0.5568,3.3865,0.7719,0,0,0
5.1972,-0.5568,3.3865,0.7719,0,0,0
5.2142,-0.5568,3.3865,0.7719,0,0,0
5.2309,-0.5568,3.3865,0.7719,0,0,0
5.2477,-0.5568,3.3865,0.7719,0,0,0
5.2646,-0.5568,3.3865,0.7719,0,0,0
5.2816,-0.5568,3.3865,0.7719,0,0,0
5.2983,-0.5568,3.3865,0.7719,0,0,0
5.3156,-0.5568,3.3865,0.7719,0,0,0
5.332,-0.5568,3.3865,0.7719,0,0,0
5.3496,-0.5568,3.3865,0.7719,0,0,0
5.3657,-0.5568,3.3865,0.7719,0,0,0
5.3826,-0.5568,3.3865,0.7719,0,0,0
5.3994,-0.5568,3.3865,0.7719,0,0,0
5.4171,-0.5568,3.3865,0.7719,0,0,0
5.4331,-0.5568,3.3865,0.7719,0,0,0
5.4501,-0.5568,3.3865,0.7719,0,0,0
5.4668,-0.5568,3.3865,0.7719,0,0,0
5.4841,-0.5568,3.3865,0.7719,0,0,0
5.5006,-0.5568,3.3865,0.7719,0,0,0
5.5173,-0.5568,3.3865,0.7719,0,0,0
5.5342,-0.5568,3.3865,0.7719,0,0,0
5.551,-0.5568,3.3865,0.7719,0,0,0
5.5679,-0.5568,3.3865,0.7719,0,0,0
5.5851,-0.5568,3.3865,0.7719,0,0,0
5.6016,-0.5568,3.3865,0.7719,0,0,0
5.6184,-0.5568,3.3865,0.7719,0,0,0
5.6353,-0.5568,3.3865,0.7719,0,0,0
5.6521,-0.5568,3.3865,0.7719,0,0,0
5.6692,-0.5568,3.3865,0.7719,0,0,0
5.6858,-0.5568,3.3865,0.7719,0,0,0
5.7027,-0.5568,3.3865,0.7719,0,0,0
5.7195,-0.5568,3.3865,0.7719,0,0,0
5.7366,-0.5568,3.3865,0.7719,0,0,0
5.7532,-0.5568,3.3865,0.7719,0,0,0
5.7701,-0.5568,3.3865,0.7719,0,0,0
5.7869,-0.5568,3.3865,0.7719,0,0,0
5.8042,-0.5568,3.3865,0.7719,0,0,0
5.8206,-0.5568,3.3865,0.7719,0,0,0
5.8375,-0.5568,3.3865,0.7719,0,0,0
5.8543,-0.5568,3.3865,0.7719,0,0,0
5.8712,-0.5568,3.3865,0.7719,0,0,0
5.888,-0.5568,3.3865,0.7719,0,0,0
5.9049,-0.5568,3.3865,0.7719,0,0,0
5.9217,-0.5568,3.3865,0.7719,0,0,0
5.9386,-0.5568,3.3865,0.7719,0,0,0
5.9561,-0.5568,3.3865,0.7719,0,0,0
5.9722,-0.5568,3.3865,0.7719,0,0,0
5.9891,-0.5568,3.3865,0.7719,0,0,0
6.0059,-0.5568,3.3865,0.7719,0,0,0
6.0236,-0.5568,3.3865,0.7719,0,0,0
6.0396,-0.5568,3.3865,0.7719,0,0,0
