ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,size,some_variable
quick_start,1,1,1,1,0,1.013354,1,0.09477688
quick_start,1,2,1,2,1.013354,2.025188,1,0.7065578
quick_start,1,3,1,3,2.025188,3.035261,1,0.3720308
quick_start,1,4,1,4,3.035261,4.036291,1,0.1298767
quick_start,1,5,1,5,4.036291,5.052334,1,0.3130541
quick_start,1,6,2,1,5.052334,6.055406,1,0.2832529
quick_start,1,7,2,2,6.055406,7.066427,10,0.5875854
quick_start,1,8,2,3,7.066427,8.107353,1,0.5911461
quick_start,1,9,2,4,8.107353,9.116247,1,0.7600861
quick_start,1,10,2,5,9.116247,0,1,0.8492236





