timestamp,log_type,message
6.863205,Log,Running trial!
6.863205,Log,The 'size' for this trial is: 1
6.863205,Log,We observed: 0.4561451
7.878076,Log,Ending trial
7.878076,Log,Running trial!
7.878076,Log,The 'size' for this trial is: 1
7.878076,Log,We observed: 0.9032458
8.889025,Log,Ending trial
8.889025,Log,Running trial!
8.889025,Log,The 'size' for this trial is: 1
8.889025,Log,We observed: 0.165588
9.900574,Log,Ending trial
9.900574,Log,Running trial!
9.900574,Log,The 'size' for this trial is: 1
9.900574,Log,We observed: 0.8277752
