experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,some_variable,movement
basic_example_1,P_180504130057,1,1,1,1,6.863205,7.878076,0.4561451,basic_example_1/P_180504130057/S001/mygameobject_movement_T001.csv
basic_example_1,P_180504130057,1,2,1,2,7.878076,8.889025,0.9032458,basic_example_1/P_180504130057/S001/mygameobject_movement_T002.csv
basic_example_1,P_180504130057,1,3,1,3,8.889025,9.900574,0.165588,basic_example_1/P_180504130057/S001/mygameobject_movement_T003.csv
basic_example_1,P_180504130057,1,4,1,4,9.900574,0,0.8277752,basic_example_1/P_180504130057/S001/mygameobject_movement_T004.csv











