time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
14.33582,0,2,0,0,270,90
14.35239,0,2.0258,0,0,270,90
14.36924,0,2.0521,0,0,270,90
14.38609,0,2.0784,0,0,270,90
14.40294,0,2.1047,0,0,270,90
14.41985,0,2.1311,0,0,270,90
14.43664,0,2.1573,0,0,270,90
14.45349,0,2.1835,0,0,270,90
14.47034,0,2.2098,0,0,270,90
14.48719,0,2.2361,0,0,270,90
14.50403,0,2.2624,0,0,270,90
14.52088,0,2.2887,0,0,270,90
14.53787,0,2.3152,0,0,270,90
14.55458,0,2.3412,0,0,270,90
14.57188,0,2.3682,0,0,270,90
14.58889,0,2.3947,0,0,270,90
14.60589,0,2.4213,0,0,270,90
14.62198,0,2.4464,0,0,270,90
14.63889,0,2.4727,0,0,270,90
14.6559,0,2.4993,0,0,270,90
14.67253,0,2.5252,0,0,270,90
14.68937,0,2.5515,0,0,270,90
14.70623,0,2.5778,0,0,270,90
14.72307,0,2.604,0,0,270,90
14.73993,0,2.6303,0,0,270,90
14.75693,0,2.6568,0,0,270,90
14.77392,0,2.6834,0,0,270,90
14.79093,0,2.7099,0,0,270,90
14.80793,0,2.7364,0,0,270,90
14.82494,0,2.7629,0,0,270,90
14.84102,0,2.788,0,0,270,90
14.85794,0,2.8144,0,0,270,90
14.87472,0,2.8406,0,0,270,90
14.89156,0,2.8669,0,0,270,90
14.90841,0,2.8931,0,0,270,90
14.92526,0,2.9194,0,0,270,90
14.94211,0,2.9457,0,0,270,90
14.95896,0,2.972,0,0,270,90
14.97597,0,2.9985,0,0,270,90
14.99266,0,3.0245,0,0,270,90
15.00951,0,3.0508,0,0,270,90
15.02636,0,3.0771,0,0,270,90
15.04321,0,3.1034,0,0,270,90
15.06006,0,3.1297,0,0,270,90
15.07699,0,3.1561,0,0,270,90
15.09375,0,3.1822,0,0,270,90
15.111,0,3.2091,0,0,270,90
15.128,0,3.2357,0,0,270,90
15.14501,0,3.2622,0,0,270,90
15.16201,0,3.2887,0,0,270,90
15.17801,0,3.3137,0,0,270,90
15.19502,0,3.3402,0,0,270,90
15.21202,0,3.3667,0,0,270,90
15.22855,0,3.3925,0,0,270,90
15.2454,0,3.4188,0,0,270,90
15.26225,0,3.4451,0,0,270,90
15.2791,0,3.4713,0,0,270,90
15.29605,0,3.4978,0,0,270,90
15.31305,0,3.5243,0,0,270,90
15.33005,0,3.5508,0,0,270,90
15.34649,0,3.5765,0,0,270,90
15.36334,0,3.6027,0,0,270,90
15.38019,0,3.629,0,0,270,90
15.39707,0,3.6554,0,0,270,90
15.41407,0,3.6819,0,0,270,90
15.43074,0,3.7079,0,0,270,90
15.44759,0,3.7342,0,0,270,90
15.46508,0,3.7614,0,0,270,90
15.48129,0,3.7867,0,0,270,90
15.49813,0,3.813,0,0,270,90
15.51509,0,3.8395,0,0,270,90
15.53183,0,3.8656,0,0,270,90
15.54868,0,3.8918,0,0,270,90
15.56553,0,3.9181,0,0,270,90
15.58238,0,3.9444,0,0,270,90
15.59923,0,3.9707,0,0,270,90
15.61612,0,3.997,0,0,270,90
15.63312,0,4.0235,0,0,270,90
15.64978,0,4.0495,0,0,270,90
15.66663,0,4.0758,0,0,270,90
15.68348,0,4.1021,0,0,270,90
15.70033,0,4.1284,0,0,270,90
15.71717,0,4.1547,0,0,270,90
15.73414,0,4.1811,0,0,270,90
15.75087,0,4.2072,0,0,270,90
15.76815,0,4.2342,0,0,270,90
15.78515,0,4.2607,0,0,270,90
15.80142,0,4.2861,0,0,270,90
15.81827,0,4.3123,0,0,270,90
15.83516,0,4.3387,0,0,270,90
15.85217,0,4.3652,0,0,270,90
15.86882,0,4.3912,0,0,270,90
15.88618,0,4.4183,0,0,270,90
15.90251,0,4.4438,0,0,270,90
15.91936,0,4.47,0,0,270,90
15.93621,0,4.4963,0,0,270,90
15.95319,0,4.5228,0,0,270,90
15.96991,0,4.5489,0,0,270,90
15.98676,0,4.5752,0,0,270,90
16.00421,0,4.6024,0,0,270,90
16.02046,0,4.6277,0,0,270,90
16.03731,0,4.654,0,0,270,90
16.05421,0,4.6804,0,0,270,90
16.071,0,4.7066,0,0,270,90
16.08822,0,4.7334,0,0,270,90
16.10522,0,4.76,0,0,270,90
16.12155,0,4.7854,0,0,270,90
16.13923,0,4.813,0,0,270,90
16.15525,0,4.838,0,0,270,90
16.17224,0,4.8645,0,0,270,90
16.18924,0,4.891,0,0,270,90
16.2058,0,4.9168,0,0,270,90
16.22326,0,4.9441,0,0,270,90
16.2395,0,4.9694,0,0,270,90
16.25726,0,4.9971,0,0,270,90
16.27327,0,5.0221,0,0,270,90
16.29004,0,5.0482,0,0,270,90
16.30689,0,5.0745,0,0,270,90
16.32428,0,5.1016,0,0,270,90
16.34059,0,5.1271,0,0,270,90
16.35829,0,5.1547,0,0,270,90
16.37429,0,5.1796,0,0,270,90
16.3913,0,5.2062,0,0,270,90
16.40799,0,5.2322,0,0,270,90
16.42484,0,5.2585,0,0,270,90
16.44169,0,5.2848,0,0,270,90
16.45854,0,5.3111,0,0,270,90
16.47539,0,5.3373,0,0,270,90
16.49231,0,5.3637,0,0,270,90
16.50908,0,5.3899,0,0,270,90
16.52632,0,5.4168,0,0,270,90
16.54332,0,5.4433,0,0,270,90
16.55963,0,5.4687,0,0,270,90
16.57648,0,5.495,0,0,270,90
16.59334,0,5.5213,0,0,270,90
16.61018,0,5.5476,0,0,270,90
16.62734,0,5.5744,0,0,270,90
16.64388,0,5.6001,0,0,270,90
16.66135,0,5.6274,0,0,270,90
16.67835,0,5.6539,0,0,270,90
16.69442,0,5.679,0,0,270,90
16.71127,0,5.7053,0,0,270,90
16.72836,0,5.7319,0,0,270,90
16.74497,0,5.7578,0,0,270,90
16.76237,0,5.785,0,0,270,90
16.77938,0,5.8115,0,0,270,90
16.79552,0,5.8367,0,0,270,90
16.81237,0,5.863,0,0,270,90
16.82939,0,5.8895,0,0,270,90
16.84639,0,5.916,0,0,270,90
16.8634,0,5.9426,0,0,270,90
16.87976,0,5.9681,0,0,270,90
16.89661,0,5.9944,0,0,270,90
16.91347,0,6.0207,0,0,270,90
16.93042,0,6.0471,0,0,270,90
16.94743,0,6.0736,0,0,270,90
16.96401,0,6.0995,0,0,270,90
16.98086,0,6.1258,0,0,270,90
16.99844,0,6.1532,0,0,270,90
17.01456,0,6.1783,0,0,270,90
17.03144,0,6.2047,0,0,270,90
17.04826,0,6.2309,0,0,270,90
17.06511,0,6.2572,0,0,270,90
17.08195,0,6.2835,0,0,270,90
17.0988,0,6.3098,0,0,270,90
17.11646,0,6.3373,0,0,270,90
17.1325,0,6.3623,0,0,270,90
17.14946,0,6.3888,0,0,270,90
17.1662,0,6.4149,0,0,270,90
17.18347,0,6.4418,0,0,270,90
17.1999,0,6.4674,0,0,270,90
17.21675,0,6.4937,0,0,270,90
17.2336,0,6.52,0,0,270,90
17.25044,0,6.5463,0,0,270,90
17.2673,0,6.5726,0,0,270,90
17.28415,0,6.5988,0,0,270,90
17.30099,0,6.6251,0,0,270,90
17.3185,0,6.6524,0,0,270,90
17.33469,0,6.6777,0,0,270,90
17.35154,0,6.704,0,0,270,90
17.36851,0,6.7305,0,0,270,90
17.38524,0,6.7565,0,0,270,90
17.40209,0,6.7828,0,0,270,90
17.41953,0,6.81,0,0,270,90
17.43653,0,6.8365,0,0,270,90
17.45353,0,6.8631,0,0,270,90
17.46954,0,6.888,0,0,270,90
17.48634,0,6.9142,0,0,270,90
17.50354,0,6.9411,0,0,270,90
17.52003,0,6.9668,0,0,270,90
17.53688,0,6.9931,0,0,270,90
17.55373,0,7.0194,0,0,270,90
17.57058,0,7.0456,0,0,270,90
17.58756,0,7.0721,0,0,270,90
17.60456,0,7.0986,0,0,270,90
17.62113,0,7.1245,0,0,270,90
17.63798,0,7.1508,0,0,270,90
17.65483,0,7.177,0,0,270,90
17.67167,0,7.2033,0,0,270,90
17.68852,0,7.2296,0,0,270,90
17.70537,0,7.2559,0,0,270,90
17.72222,0,7.2822,0,0,270,90
17.73907,0,7.3085,0,0,270,90
17.75592,0,7.3347,0,0,270,90
17.77277,0,7.361,0,0,270,90
17.78962,0,7.3873,0,0,270,90
17.80662,0,7.4138,0,0,270,90
17.82362,0,7.4403,0,0,270,90
17.84063,0,7.4669,0,0,270,90
17.85702,0,7.4924,0,0,270,90
17.87463,0,7.5199,0,0,270,90
17.89071,0,7.545,0,0,270,90
17.90764,0,7.5714,0,0,270,90
17.92464,0,7.5979,0,0,270,90
17.94165,0,7.6244,0,0,270,90
17.95811,0,7.6501,0,0,270,90
17.97565,0,7.6775,0,0,270,90
17.99266,0,7.704,0,0,270,90
18.00866,0,7.729,0,0,270,90
18.02551,0,7.7552,0,0,270,90
18.04236,0,7.7815,0,0,270,90
18.05921,0,7.8078,0,0,270,90
18.07668,0,7.8351,0,0,270,90
18.09291,0,7.8604,0,0,270,90
18.10975,0,7.8867,0,0,270,90
18.12669,0,7.9131,0,0,270,90
18.14369,0,7.9396,0,0,270,90
18.1603,0,7.9655,0,0,270,90
18.1777,0,7.9926,0,0,270,90
18.194,0,8.0181,0,0,270,90
