experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,thrust,altitude,shuttle_movement_location_0
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,1,1,1,7.323537,12.33049,0.6519734,5.275034,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T001.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,2,1,2,14.33582,19.32296,1.55982,9.779029,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T002.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,3,1,3,21.32841,26.33214,1.70831,10.54792,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T003.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,4,1,4,28.32051,33.32465,1.00294,7.018851,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T004.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,5,1,5,35.32959,40.33425,1.724325,10.62966,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T005.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,6,1,6,42.32199,47.32689,1.105075,7.530792,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T006.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,7,1,7,49.33183,54.33543,0.7706299,5.855925,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T007.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,8,1,8,56.32363,61.32783,0.5705822,4.85531,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T008.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,9,1,9,63.33342,68.32023,0.9920511,6.947166,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T009.csv
basic_example_1,arson-118b23f9-c877-4cb7-9053-a47e1318b95b,1,10,1,10,70.32543,75.32957,1.582997,9.921541,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/arson-118b23f9-c877-4cb7-9053-a47e1318b95b/S001/trackers/shuttle_movement_T010.csv
