time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.12969,0,2.0333,0,0,270,90
16.1654,0,2.1018,0,0,270,90
16.1827,0,2.1349,0,0,270,90
16.19971,0,2.1676,0,0,270,90
16.21671,0,2.2002,0,0,270,90
16.2328,0,2.2311,0,0,270,90
16.24972,0,2.2635,0,0,270,90
16.2665,0,2.2957,0,0,270,90
16.28372,0,2.3288,0,0,270,90
16.30072,0,2.3614,0,0,270,90
16.31705,0,2.3927,0,0,270,90
16.33473,0,2.4266,0,0,270,90
16.35173,0,2.4592,0,0,270,90
16.36774,0,2.4899,0,0,270,90
16.38474,0,2.5226,0,0,270,90
16.40129,0,2.5543,0,0,270,90
16.41814,0,2.5866,0,0,270,90
16.43499,0,2.619,0,0,270,90
16.45184,0,2.6513,0,0,270,90
16.46876,0,2.6837,0,0,270,90
16.48554,0,2.7159,0,0,270,90
16.50277,0,2.749,0,0,270,90
16.51977,0,2.7816,0,0,270,90
16.53609,0,2.8129,0,0,270,90
16.55294,0,2.8452,0,0,270,90
16.56979,0,2.8776,0,0,270,90
16.58679,0,2.9102,0,0,270,90
16.60379,0,2.9428,0,0,270,90
16.62033,0,2.9745,0,0,270,90
16.6378,0,3.008,0,0,270,90
16.6548,0,3.0407,0,0,270,90
16.67088,0,3.0715,0,0,270,90
16.68781,0,3.104,0,0,270,90
16.70481,0,3.1366,0,0,270,90
16.72143,0,3.1685,0,0,270,90
16.73882,0,3.2019,0,0,270,90
16.75513,0,3.2331,0,0,270,90
16.77197,0,3.2654,0,0,270,90
16.78883,0,3.2978,0,0,270,90
16.80583,0,3.3304,0,0,270,90
16.82284,0,3.363,0,0,270,90
16.83937,0,3.3947,0,0,270,90
16.85685,0,3.4283,0,0,270,90
16.87307,0,3.4594,0,0,270,90
16.88992,0,3.4917,0,0,270,90
16.90686,0,3.5242,0,0,270,90
16.92362,0,3.5564,0,0,270,90
16.94047,0,3.5887,0,0,270,90
16.95732,0,3.621,0,0,270,90
16.97488,0,3.6547,0,0,270,90
16.99101,0,3.6857,0,0,270,90
17.00788,0,3.718,0,0,270,90
17.0249,0,3.7507,0,0,270,90
17.0419,0,3.7833,0,0,270,90
17.0589,0,3.8159,0,0,270,90
17.07526,0,3.8473,0,0,270,90
17.09211,0,3.8796,0,0,270,90
17.10991,0,3.9138,0,0,270,90
17.12591,0,3.9445,0,0,270,90
17.14266,0,3.9766,0,0,270,90
17.15951,0,4.0089,0,0,270,90
17.17692,0,4.0423,0,0,270,90
17.19392,0,4.0749,0,0,270,90
17.21005,0,4.1059,0,0,270,90
17.22694,0,4.1383,0,0,270,90
17.24394,0,4.1709,0,0,270,90
17.2606,0,4.2029,0,0,270,90
17.27745,0,4.2352,0,0,270,90
17.29495,0,4.2688,0,0,270,90
17.31115,0,4.2998,0,0,270,90
17.328,0,4.3321,0,0,270,90
17.34497,0,4.3647,0,0,270,90
17.36197,0,4.3973,0,0,270,90
17.37897,0,4.4299,0,0,270,90
17.3954,0,4.4614,0,0,270,90
17.41298,0,4.4952,0,0,270,90
17.42909,0,4.5261,0,0,270,90
17.44594,0,4.5584,0,0,270,90
17.46299,0,4.5911,0,0,270,90
17.47964,0,4.6231,0,0,270,90
17.497,0,4.6564,0,0,270,90
17.51334,0,4.6877,0,0,270,90
17.53019,0,4.72,0,0,270,90
17.54704,0,4.7524,0,0,270,90
17.56401,0,4.7849,0,0,270,90
17.58073,0,4.817,0,0,270,90
17.59802,0,4.8502,0,0,270,90
17.61443,0,4.8817,0,0,270,90
17.63128,0,4.914,0,0,270,90
17.64813,0,4.9463,0,0,270,90
17.66503,0,4.9787,0,0,270,90
17.68183,0,5.011,0,0,270,90
17.69868,0,5.0433,0,0,270,90
17.71605,0,5.0766,0,0,270,90
17.73238,0,5.1079,0,0,270,90
17.75005,0,5.1418,0,0,270,90
17.76608,0,5.1726,0,0,270,90
17.78292,0,5.2049,0,0,270,90
17.80006,0,5.2378,0,0,270,90
17.81662,0,5.2695,0,0,270,90
17.83407,0,5.303,0,0,270,90
17.85107,0,5.3356,0,0,270,90
17.86717,0,5.3665,0,0,270,90
17.88408,0,5.399,0,0,270,90
17.90108,0,5.4316,0,0,270,90
17.91772,0,5.4635,0,0,270,90
17.93509,0,5.4968,0,0,270,90
17.95142,0,5.5281,0,0,270,90
17.96911,0,5.5621,0,0,270,90
17.98511,0,5.5928,0,0,270,90
18.00196,0,5.6251,0,0,270,90
18.01881,0,5.6574,0,0,270,90
18.03612,0,5.6906,0,0,270,90
18.05312,0,5.7233,0,0,270,90
18.06936,0,5.7544,0,0,270,90
18.08713,0,5.7885,0,0,270,90
18.10313,0,5.8192,0,0,270,90
18.12014,0,5.8518,0,0,270,90
18.13676,0,5.8837,0,0,270,90
18.15415,0,5.9171,0,0,270,90
18.17046,0,5.9484,0,0,270,90
18.18815,0,5.9823,0,0,270,90
18.20415,0,6.013,0,0,270,90
18.22116,0,6.0456,0,0,270,90
18.23816,0,6.0783,0,0,270,90
18.25517,0,6.1109,0,0,270,90
18.27155,0,6.1423,0,0,270,90
18.2884,0,6.1746,0,0,270,90
18.30525,0,6.207,0,0,270,90
18.32218,0,6.2394,0,0,270,90
18.33895,0,6.2716,0,0,270,90
18.35619,0,6.3047,0,0,270,90
18.37265,0,6.3362,0,0,270,90
18.39019,0,6.3699,0,0,270,90
18.40634,0,6.4009,0,0,270,90
18.4232,0,6.4332,0,0,270,90
18.44004,0,6.4655,0,0,270,90
18.45689,0,6.4979,0,0,270,90
18.47422,0,6.5311,0,0,270,90
18.49059,0,6.5625,0,0,270,90
18.50822,0,6.5963,0,0,270,90
18.52429,0,6.6272,0,0,270,90
18.54123,0,6.6597,0,0,270,90
18.55799,0,6.6918,0,0,270,90
18.57524,0,6.7249,0,0,270,90
18.59168,0,6.7565,0,0,270,90
18.60853,0,6.7888,0,0,270,90
18.62538,0,6.8211,0,0,270,90
18.64226,0,6.8535,0,0,270,90
18.65926,0,6.8861,0,0,270,90
18.67626,0,6.9187,0,0,270,90
18.69278,0,6.9504,0,0,270,90
18.70963,0,6.9827,0,0,270,90
18.72648,0,7.0151,0,0,270,90
18.74428,0,7.0492,0,0,270,90
18.76028,0,7.0799,0,0,270,90
18.77702,0,7.112,0,0,270,90
18.79387,0,7.1444,0,0,270,90
18.8113,0,7.1778,0,0,270,90
18.82757,0,7.209,0,0,270,90
18.8453,0,7.243,0,0,270,90
18.86131,0,7.2737,0,0,270,90
18.87812,0,7.306,0,0,270,90
18.89497,0,7.3383,0,0,270,90
18.91182,0,7.3706,0,0,270,90
18.92867,0,7.4029,0,0,270,90
18.94633,0,7.4368,0,0,270,90
18.96237,0,7.4676,0,0,270,90
18.97934,0,7.5002,0,0,270,90
18.99633,0,7.5328,0,0,270,90
19.01291,0,7.5646,0,0,270,90
19.02976,0,7.5969,0,0,270,90
19.04735,0,7.6306,0,0,270,90
19.06346,0,7.6615,0,0,270,90
19.08036,0,7.694,0,0,270,90
19.09736,0,7.7266,0,0,270,90
19.11436,0,7.7592,0,0,270,90
19.13086,0,7.7908,0,0,270,90
19.14837,0,7.8244,0,0,270,90
19.16538,0,7.8571,0,0,270,90
19.18141,0,7.8878,0,0,270,90
19.19825,0,7.9201,0,0,270,90
19.21538,0,7.953,0,0,270,90
19.23195,0,7.9848,0,0,270,90
19.2494,0,8.0183,0,0,270,90
19.26565,0,8.0494,0,0,270,90
19.2825,0,8.0818,0,0,270,90
19.2994,0,8.1142,0,0,270,90
19.3164,0,8.1468,0,0,270,90
19.33305,0,8.1787,0,0,270,90
19.35042,0,8.2121,0,0,270,90
19.36674,0,8.2434,0,0,270,90
19.38359,0,8.2757,0,0,270,90
19.40044,0,8.308,0,0,270,90
19.41743,0,8.3406,0,0,270,90
19.43443,0,8.3732,0,0,270,90
19.45099,0,8.405,0,0,270,90
19.46845,0,8.4385,0,0,270,90
19.48469,0,8.4696,0,0,270,90
19.50245,0,8.5037,0,0,270,90
19.51846,0,8.5344,0,0,270,90
19.53546,0,8.567,0,0,270,90
19.55209,0,8.5989,0,0,270,90
19.56947,0,8.6323,0,0,270,90
19.58578,0,8.6636,0,0,270,90
19.60263,0,8.6959,0,0,270,90
19.61949,0,8.7282,0,0,270,90
19.63648,0,8.7609,0,0,270,90
19.65348,0,8.7935,0,0,270,90
19.67003,0,8.8252,0,0,270,90
19.68688,0,8.8575,0,0,270,90
19.7045,0,8.8913,0,0,270,90
19.72058,0,8.9222,0,0,270,90
19.7375,0,8.9547,0,0,270,90
19.75451,0,8.9873,0,0,270,90
19.77112,0,9.0192,0,0,270,90
19.78852,0,9.0525,0,0,270,90
19.80482,0,9.0838,0,0,270,90
19.82167,0,9.1161,0,0,270,90
19.83853,0,9.1485,0,0,270,90
19.85553,0,9.1811,0,0,270,90
19.87254,0,9.2137,0,0,270,90
19.88907,0,9.2454,0,0,270,90
19.90654,0,9.279,0,0,270,90
19.92277,0,9.3101,0,0,270,90
19.93962,0,9.3424,0,0,270,90
19.95656,0,9.3749,0,0,270,90
19.97331,0,9.407,0,0,270,90
19.99056,0,9.4401,0,0,270,90
20.00701,0,9.4717,0,0,270,90
20.02457,0,9.5054,0,0,270,90
20.04071,0,9.5363,0,0,270,90
20.05758,0,9.5687,0,0,270,90
20.07458,0,9.6013,0,0,270,90
20.09126,0,9.6333,0,0,270,90
20.10859,0,9.6666,0,0,270,90
20.12559,0,9.6992,0,0,270,90
20.1418,0,9.7303,0,0,270,90
20.15866,0,9.7626,0,0,270,90
20.1756,0,9.7951,0,0,270,90
20.1926,0,9.8277,0,0,270,90
20.2092,0,9.8596,0,0,270,90
20.22662,0,9.893,0,0,270,90
20.2429,0,9.9242,0,0,270,90
20.25975,0,9.9566,0,0,270,90
20.27662,0,9.9889,0,0,270,90
20.29363,0,10.0216,0,0,270,90
20.3103,0,10.0535,0,0,270,90
20.32764,0,10.0868,0,0,270,90
20.34399,0,10.1182,0,0,270,90
