timestamp,log_type,message
0,Log,Running trial!
0,Log,The 'size' for this trial is: 1
0,Log,We observed: 0.8946198
0,Log,Managing action: UXF.Session+<WriteDictToSessionFolder>c__AnonStorey3.<>m__0
1.016637,Log,Ending trial
1.016637,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
1.016637,Log,Running trial!
1.016637,Log,The 'size' for this trial is: 1
1.016637,Log,We observed: 0.313488
2.010719,Log,Ending trial
2.010719,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
2.010719,Log,Running trial!
2.010719,Log,The 'size' for this trial is: 1
2.010719,Log,We observed: 0.6645581
3.00478,Log,Ending trial
3.00478,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
3.00478,Log,Running trial!
3.00478,Log,The 'size' for this trial is: 1
3.00478,Log,We observed: 0.4446701
4.005879,Log,Ending trial
4.005879,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
4.005879,Log,Running trial!
4.005879,Log,The 'size' for this trial is: 1
4.005879,Log,We observed: 0.9393522
5.016427,Log,Ending trial
5.016427,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
5.016427,Log,Running trial!
5.016427,Log,The 'size' for this trial is: 1
5.016427,Log,We observed: 0.7827854
6.011063,Log,Ending trial
6.011063,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
6.011063,Log,Running trial!
6.011063,Log,The 'size' for this trial is: 10
6.011063,Log,We observed: 0.3368481
7.013841,Log,Ending trial
7.013841,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
7.013841,Log,Running trial!
7.013841,Log,The 'size' for this trial is: 1
7.013841,Log,We observed: 0.08985735
8.00794,Log,Ending trial
8.00794,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
8.00794,Log,Running trial!
8.00794,Log,The 'size' for this trial is: 1
8.00794,Log,We observed: 0.9548569
9.002041,Log,Ending trial
9.002041,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
9.002041,Log,Running trial!
9.002041,Log,The 'size' for this trial is: 1
9.002041,Log,We observed: 0.4297149
10.01299,Log,Ending trial
10.01299,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
10.01299,Log,Running trial!
10.01299,Log,The 'size' for this trial is: 1
10.01299,Log,We observed: 0.3392229
11.00943,Log,Ending trial
11.00943,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
11.00943,Log,Running trial!
11.00943,Log,The 'size' for this trial is: 1
11.00943,Log,We observed: 0.3865909
12.00353,Log,Ending trial
12.00353,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
12.00353,Log,Running trial!
12.00353,Log,The 'size' for this trial is: 1
12.00353,Log,We observed: 0.9814118
13.01474,Log,Ending trial
13.01474,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
13.01474,Log,Running trial!
13.01474,Log,The 'size' for this trial is: 1
13.01474,Log,We observed: 0.8438116
14.00858,Log,Ending trial
14.00858,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
14.00858,Log,Running trial!
14.00858,Log,The 'size' for this trial is: 1
14.00858,Log,We observed: 0.01023984
15.00268,Log,Ending trial
15.00268,Log,Managing action: UXF.Session+<SaveTrackerData>c__AnonStorey0.<>m__0
0,Log,Managing action: UXF.Session+<SaveResults>c__AnonStorey4.<>m__0
0,Log,Managing action: UXF.SessionLogger+<Finalise>c__AnonStorey0.<>m__0
