time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1.000144,-0.5568,3.3865,0.7719,0,0,0
1.016126,-0.5568,3.3865,0.7719,0,0,0
1.033129,-0.5568,3.3865,0.7719,0,0,0
1.050133,-0.5568,3.3865,0.7719,0,0,0
1.067141,-0.5568,3.3865,0.7719,0,0,0
1.08413,-0.5568,3.3865,0.7719,0,0,0
1.100242,-0.5568,3.3865,0.7719,0,0,0
1.117161,-0.5568,3.3865,0.7719,0,0,0
1.134145,-0.5568,3.3865,0.7719,0,0,0
1.151169,-0.5568,3.3865,0.7719,0,0,0
1.168152,-0.5568,3.3865,0.7719,0,0,0
1.184489,-0.5568,3.3865,0.7719,0,0,0
1.201342,-0.5568,3.3865,0.7719,0,0,0
1.218208,-0.5568,3.3865,0.7719,0,0,0
1.235152,-0.5568,3.3865,0.7719,0,0,0
1.252144,-0.5568,3.3865,0.7719,0,0,0
1.269162,-0.5568,3.3865,0.7719,0,0,0
1.286167,-0.5568,3.3865,0.7719,0,0,0
1.302433,-0.5568,3.3865,0.7719,0,0,0
1.319283,-0.5568,3.3865,0.7719,0,0,0
1.336166,-0.5568,3.3865,0.7719,0,0,0
1.353164,-0.5568,3.3865,0.7719,0,0,0
1.370159,-0.5568,3.3865,0.7719,0,0,0
1.387163,-0.5568,3.3865,0.7719,0,0,0
1.404153,-0.5568,3.3865,0.7719,0,0,0
1.421162,-0.5568,3.3865,0.7719,0,0,0
1.437226,-0.5568,3.3865,0.7719,0,0,0
1.45416,-0.5568,3.3865,0.7719,0,0,0
1.471158,-0.5568,3.3865,0.7719,0,0,0
1.488157,-0.5568,3.3865,0.7719,0,0,0
1.505156,-0.5568,3.3865,0.7719,0,0,0
1.52149,-0.5568,3.3865,0.7719,0,0,0
1.538322,-0.5568,3.3865,0.7719,0,0,0
1.555171,-0.5568,3.3865,0.7719,0,0,0
1.572184,-0.5568,3.3865,0.7719,0,0,0
1.58887,-0.5568,3.3865,0.7719,0,0,0
1.605718,-0.5568,3.3865,0.7719,0,0,0
1.623151,-0.5568,3.3865,0.7719,0,0,0
1.639415,-0.5568,3.3865,0.7719,0,0,0
1.656264,-0.5568,3.3865,0.7719,0,0,0
1.673154,-0.5568,3.3865,0.7719,0,0,0
1.690156,-0.5568,3.3865,0.7719,0,0,0
1.707152,-0.5568,3.3865,0.7719,0,0,0
1.724164,-0.5568,3.3865,0.7719,0,0,0
1.74051,-0.5568,3.3865,0.7719,0,0,0
1.75736,-0.5568,3.3865,0.7719,0,0,0
1.774209,-0.5568,3.3865,0.7719,0,0,0
1.791149,-0.5568,3.3865,0.7719,0,0,0
1.807907,-0.5568,3.3865,0.7719,0,0,0
1.82515,-0.5568,3.3865,0.7719,0,0,0
1.841605,-0.5568,3.3865,0.7719,0,0,0
1.858454,-0.5568,3.3865,0.7719,0,0,0
1.875303,-0.5568,3.3865,0.7719,0,0,0
1.892153,-0.5568,3.3865,0.7719,0,0,0
1.909149,-0.5568,3.3865,0.7719,0,0,0
1.925852,-0.5568,3.3865,0.7719,0,0,0
1.943149,-0.5568,3.3865,0.7719,0,0,0
1.95955,-0.5568,3.3865,0.7719,0,0,0
1.977147,-0.5568,3.3865,0.7719,0,0,0
1.993248,-0.5568,3.3865,0.7719,0,0,0
