experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,size,some_variable
basic_example_1,quick_start,1,1,1,1,0,1.016154,1,0.2585504
basic_example_1,quick_start,1,2,1,2,1.016154,2.026541,1,0.7506925
basic_example_1,quick_start,1,3,1,3,2.026541,3.03127,1,0.4282282
basic_example_1,quick_start,1,4,1,4,3.03127,4.042314,1,0.9844433
basic_example_1,quick_start,1,5,1,5,4.042314,5.053154,1,0.5983264
basic_example_1,quick_start,1,6,2,1,5.053154,6.064105,1,0.6822236
basic_example_1,quick_start,1,7,2,2,6.064105,7.07567,10,0.4904974
basic_example_1,quick_start,1,8,2,3,7.07567,8.086767,1,0.7285928
basic_example_1,quick_start,1,9,2,4,8.086767,9.096951,1,0.9109503
basic_example_1,quick_start,1,10,2,5,9.096951,10.10796,1,0.7644506
basic_example_1,quick_start,1,11,2,6,10.10796,11.11906,1,0.652816
basic_example_1,quick_start,1,12,2,7,11.11906,12.1298,1,0.5210512
basic_example_1,quick_start,1,13,2,8,12.1298,13.14075,1,0.4548693
basic_example_1,quick_start,1,14,2,9,13.14075,14.1517,1,0.46755
basic_example_1,quick_start,1,15,2,10,14.1517,0,1,0.7944266
