time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.0694,-0.5568,3.3865,0.7719,0,0,0
8.1117,-0.5568,3.3865,0.7719,0,0,0
8.1285,-0.5568,3.3865,0.7719,0,0,0
8.1462,-0.5568,3.3865,0.7719,0,0,0
8.1628,-0.5568,3.3865,0.7719,0,0,0
8.1796,-0.5568,3.3865,0.7719,0,0,0
8.196,-0.5568,3.3865,0.7719,0,0,0
8.213,-0.5568,3.3865,0.7719,0,0,0
8.2296,-0.5568,3.3865,0.7719,0,0,0
8.2465,-0.5568,3.3865,0.7719,0,0,0
8.2633,-0.5568,3.3865,0.7719,0,0,0
8.2805,-0.5568,3.3865,0.7719,0,0,0
8.297,-0.5568,3.3865,0.7719,0,0,0
8.3139,-0.5568,3.3865,0.7719,0,0,0
8.3307,-0.5568,3.3865,0.7719,0,0,0
8.3476,-0.5568,3.3865,0.7719,0,0,0
8.3644,-0.5568,3.3865,0.7719,0,0,0
8.3813,-0.5568,3.3865,0.7719,0,0,0
8.3983,-0.5568,3.3865,0.7719,0,0,0
8.415,-0.5568,3.3865,0.7719,0,0,0
8.4318,-0.5568,3.3865,0.7719,0,0,0
8.4487,-0.5568,3.3865,0.7719,0,0,0
8.4656,-0.5568,3.3865,0.7719,0,0,0
8.4824,-0.5568,3.3865,0.7719,0,0,0
8.4996,-0.5568,3.3865,0.7719,0,0,0
8.5162,-0.5568,3.3865,0.7719,0,0,0
8.5329,-0.5568,3.3865,0.7719,0,0,0
8.5502,-0.5568,3.3865,0.7719,0,0,0
8.5666,-0.5568,3.3865,0.7719,0,0,0
8.5837,-0.5568,3.3865,0.7719,0,0,0
8.6004,-0.5568,3.3865,0.7719,0,0,0
8.6172,-0.5568,3.3865,0.7719,0,0,0
8.634,-0.5568,3.3865,0.7719,0,0,0
8.6509,-0.5568,3.3865,0.7719,0,0,0
8.6679,-0.5568,3.3865,0.7719,0,0,0
8.6846,-0.5568,3.3865,0.7719,0,0,0
8.7014,-0.5568,3.3865,0.7719,0,0,0
8.7183,-0.5568,3.3865,0.7719,0,0,0
8.7351,-0.5568,3.3865,0.7719,0,0,0
8.752,-0.5568,3.3865,0.7719,0,0,0
8.7692,-0.5568,3.3865,0.7719,0,0,0
8.7857,-0.5568,3.3865,0.7719,0,0,0
8.8029,-0.5568,3.3865,0.7719,0,0,0
8.8194,-0.5568,3.3865,0.7719,0,0,0
8.8433,-0.5568,3.3865,0.7719,0,0,0
8.8607,-0.5568,3.3865,0.7719,0,0,0
8.877,-0.5568,3.3865,0.7719,0,0,0
8.8938,-0.5568,3.3865,0.7719,0,0,0
8.9163,-0.5568,3.3865,0.7719,0,0,0
8.9338,-0.5568,3.3865,0.7719,0,0,0
8.9515,-0.5568,3.3865,0.7719,0,0,0
8.9678,-0.5568,3.3865,0.7719,0,0,0
8.9849,-0.5568,3.3865,0.7719,0,0,0
9.0013,-0.5568,3.3865,0.7719,0,0,0
9.0183,-0.5568,3.3865,0.7719,0,0,0
9.0356,-0.5568,3.3865,0.7719,0,0,0
9.0609,-0.5568,3.3865,0.7719,0,0,0
