ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,size,some_variable
P_180504130057,1,1,1,1,7.984506,8.988412,1,0.9482477
P_180504130057,1,2,1,2,8.988412,10.00154,1,0.2178016
P_180504130057,1,3,1,3,10.00154,11.01587,1,0.3295077
P_180504130057,1,4,1,4,11.01587,12.02494,1,0.4017733
P_180504130057,1,5,1,5,12.02494,13.03263,1,0.2663437
P_180504130057,1,6,2,1,13.03263,14.03266,1,0.2782046
P_180504130057,1,7,2,2,14.03266,15.03728,10,0.04386461
P_180504130057,1,8,2,3,15.03728,16.05191,1,0.1309118
P_180504130057,1,9,2,4,16.05191,17.05341,1,0.2549258
P_180504130057,1,10,2,5,17.05341,18.06436,1,0.7325322
P_180504130057,1,11,2,6,18.06436,19.07874,1,0.7180949
P_180504130057,1,12,2,7,19.07874,20.08889,1,0.5773938
P_180504130057,1,13,2,8,20.08889,21.09018,1,0.5052884
P_180504130057,1,14,2,9,21.09018,22.10161,1,0.9364153
P_180504130057,1,15,2,10,22.10161,23.10326,1,0.6795664
